caption,verbs,nouns,adjectives,sub
"Dolphins jumping, diving, and splashing in the ocean waves.","{jumping, diving, splashing}","{dolphins, waves}",{ocean},{dolphins}
"A conductor waving, gesturing, and directing an orchestra.","{waving, gesturing, directing}","{conductor, orchestra}",{},{conductor}
"Hikers trekking, climbing, and ascending a steep mountain trail.","{trekking, climbing, ascending}","{hikers, trail}","{steep, mountain}",{hikers}
"A mime performing, gesturing, and acting without words.","{performing, gesturing, acting}","{mime, words}",{},{mime}
"Leaves changing, transforming, and turning vibrant autumn colors.","{changing, transforming, turning}","{leaves, colors}","{vibrant, autumn}",{leaves}
"A saxophonist blowing, playing, and improvising a jazz solo.","{blowing, playing, improvising}","{saxophonist, solo}",{jazz},{saxophonist}
"Snowboarders sliding, carving, and maneuvering down a snowy slope.","{sliding, carving, maneuvering}","{snowboarders, slope}",{snowy},{snowboarders}
"A photographer focusing, framing, and capturing a breathtaking landscape.","{focusing, framing, capturing}","{photographer, landscape}",{breathtaking},{photographer}
"Horses galloping, cantering, and trotting across a grassy meadow.","{galloping, cantering, trotting}","{horses, meadow}",{grassy},{horses}
"A glassblower heating, shaping, and blowing molten glass.","{heating, shaping, blowing}","{glassblower, glass}",{molten},{glassblower}
"Acrobats balancing, contorting, and performing daring feats.","{balancing, contorting, performing}","{acrobats, feats}",{daring},{acrobats}
"A teacher writing, explaining, and illustrating concepts on a whiteboard.","{writing, explaining, illustrating}","{teacher, concepts, whiteboard}",{},{teacher}
"Ducks waddling, quacking, and swimming in a tranquil pond.","{waddling, quacking, swimming}","{ducks, pond}",{tranquil},{ducks}
"A carpenter sawing, measuring, and assembling wooden furniture.","{sawing, measuring, assembling}","{carpenter, furniture}",{wooden},{carpenter}
"Waves lapping, splashing, and breaking on a sandy shore.","{lapping, splashing, breaking}","{waves, shore}",{sandy},{waves}
"A violinist tuning, adjusting, and fine-tuning the strings of a violin.","{tuning, adjusting, fine-tuning}","{violinist, strings, violin}",{},{violinist}
"Butterflies emerging, unfurling, and drying their wings from cocoons.","{emerging, unfurling, drying}","{butterflies, wings, cocoons}",{},{butterflies}
"A chef garnishing, decorating, and plating a gourmet dish.","{garnishing, decorating, plating}","{chef, dish}",{gourmet},{chef}
"Leaves swirling, dancing, and twirling in a gust of wind.","{swirling, dancing, twirling}","{leaves, gust, wind}",{},{leaves}
"A magician levitating, floating, and suspending an object in mid-air.","{levitating, floating, suspending}","{magician, object}",{mid-air},{magician}
"Firefighters climbing, scaling, and ascending a ladder to a burning building.","{climbing, scaling, ascending}","{firefighters, ladder, building}",{burning},{firefighters}
"A potter glazing, painting, and decorating ceramic pieces.","{glazing, painting, decorating}","{potter, pieces}",{ceramic},{potter}
"Sunflowers turning, following, and tracking the sun across the sky.","{turning, following, tracking}","{sunflowers, sun, sky}",{},{sunflowers}
"A tightrope walker balancing, stepping, and traversing a high wire.","{balancing, stepping, traversing}","{walker, wire}","{high, tightrope}",{walker}
"Snowflakes crystallizing, forming, and growing into unique patterns.","{crystallizing, forming, growing}","{snowflakes, patterns}",{unique},{snowflakes}
"A sculptor molding, shaping, and crafting a clay figure.","{molding, shaping, crafting}","{sculptor, figure}",{clay},{sculptor}
"Waves cresting, breaking, and crashing on a rocky coastline.","{cresting, breaking, crashing}","{waves, coastline}",{rocky},{waves}
"A painter sketching, outlining, and drafting a preliminary drawing.","{sketching, outlining, drafting}","{painter, drawing}",{preliminary},{painter}
"Birds chirping, singing, and warbling in the early morning.","{chirping, singing, warbling}","{birds, morning}",{early},{birds}
"A chef whisking, beating, and whipping cream for a dessert.","{whisking, beating, whipping}","{chef, cream, dessert}",{},{chef}
"Flames flickering, dancing, and leaping in a crackling fireplace.","{flickering, dancing, leaping}","{flames, fireplace}",{crackling},{flames}
"A gardener pruning, trimming, and shaping topiary bushes.","{pruning, trimming, shaping}","{gardener, bushes}",{topiary},{gardener}
"Actors rehearsing, practicing, and performing a dramatic scene.","{rehearsing, practicing, performing}","{actors, scene}",{dramatic},{actors}
"Raindrops pattering, drumming, and tapping on a tin roof.","{pattering, drumming, tapping}","{raindrops, roof}",{tin},{raindrops}
"A gymnast vaulting, leaping, and soaring over a pommel horse.","{vaulting, leaping, soaring}","{gymnast, horse}",{pommel},{gymnast}
"Fireflies glowing, blinking, and illuminating a summer night.","{glowing, blinking, illuminating}","{fireflies, night}",{summer},{fireflies}
"A surfer paddling, catching, and riding a towering wave.","{paddling, catching, riding}","{surfer, wave}",{towering},{surfer}
"Leaves crunching, crackling, and rustling underfoot in autumn.","{crunching, crackling, rustling}",{leaves},{autumn},{leaves}
"A pianist composing, writing, and notating a new melody.","{composing, writing, notating}","{pianist, melody}",{new},{pianist}
"Icicles forming, growing, and dripping from a frozen rooftop.","{forming, growing, dripping}","{icicles, rooftop}",{frozen},{icicles}
"A mime mimicking, imitating, and copying the actions of passersby.","{mimicking, imitating, copying}","{mime, actions, passersby}",{},{mime}
"Bubbles floating, drifting, and popping in the air.","{floating, drifting, popping}","{bubbles, air}",{},{bubbles}
"Waves rippling, lapping, and washing over smooth pebbles.","{rippling, lapping, washing}","{waves, pebbles}",{smooth},{waves}
"A painter blending, mixing, and combining colors on a palette.","{blending, mixing, combining}","{painter, colors, palette}",{},{painter}
"Snowflakes melting, dissolving, and disappearing on warm skin.","{melting, dissolving, disappearing}","{snowflakes, skin}",{warm},{snowflakes}
"A juggler balancing, spinning, and rotating plates on sticks.","{balancing, spinning, rotating}","{juggler, plates, sticks}",{},{juggler}
"Leaves unfurling, opening, and spreading in the spring sunshine.","{unfurling, opening, spreading}","{leaves, sunshine}",{spring},{leaves}
"A magician sawing, dividing, and separating an assistant in a box.","{sawing, dividing, separating}","{magician, assistant, box}",{},{magician}
"Waves surging, swelling, and building into a massive tsunami.","{surging, swelling, building}","{waves, tsunami}",{massive},{waves}
"A sculptor chipping, carving, and etching fine details into stone.","{chipping, carving, etching}","{sculptor, details, stone}",{fine},{sculptor}
"Snowflakes accumulating, piling, and blanketing the landscape.","{accumulating, piling, blanketing}","{snowflakes, landscape}",{},{snowflakes}
"A conductor cueing, signaling, and guiding musicians in an orchestra.","{cueing, signaling, guiding}","{conductor, musicians, orchestra}",{},{conductor}
"Flames leaping, spreading, and engulfing a burning building.","{leaping, spreading, engulfing}","{flames, building}",{burning},{flames}
"A potter throwing, centering, and shaping clay on a wheel.","{throwing, centering, shaping}","{potter, clay, wheel}",{},{potter}
"Waves churning, foaming, and frothing in a stormy sea.","{churning, foaming, frothing}","{waves, sea}",{stormy},{waves}
"A painter dabbing, stippling, and dotting paint onto a canvas.","{dabbing, stippling, dotting}","{painter, paint, canvas}",{},{painter}
"A squirrel scampering, darting, and bounding up a tree trunk.","{scampering, darting, bounding}","{squirrel, tree, trunk}",{},{squirrel}
"Waves crashing, pounding, and breaking against a lighthouse.","{crashing, pounding, breaking}","{waves, lighthouse}",{},{waves}
"A chef dicing, chopping, and mincing vegetables on a cutting board.","{dicing, chopping, mincing}","{chef, vegetables, board}",{cutting},{chef}
"Balloons floating, rising, and drifting into the clear sky.","{floating, rising, drifting}","{balloons, sky}",{clear},{balloons}
"A painter brushing, dabbing, and stroking vibrant colors onto a canvas.","{brushing, dabbing, stroking}","{painter, colors, canvas}",{vibrant},{painter}
"Leaves falling, swirling, and fluttering in the autumn breeze.","{falling, swirling, fluttering}","{leaves, breeze}",{autumn},{leaves}
"A gymnast flipping, tumbling, and somersaulting across a mat.","{flipping, tumbling, somersaulting}","{gymnast, mat}",{},{gymnast}
"Firefighters extinguishing, dousing, and quenching flames in a burning building.","{extinguishing, dousing, quenching}","{firefighters, flames, building}",{burning},{firefighters}
"A magician conjuring, producing, and revealing a rabbit from a hat.","{conjuring, producing, revealing}","{magician, rabbit, hat}",{},{magician}
"Dolphins leaping, jumping, and soaring out of the water.","{leaping, jumping, soaring}","{dolphins, water}",{},{dolphins}
"A sculptor chiseling, carving, and shaping a block of marble.","{chiseling, carving, shaping}","{sculptor, block, marble}",{},{sculptor}
"Birds soaring, gliding, and swooping through the air.","{soaring, gliding, swooping}","{birds, air}",{},{birds}
"A baker kneading, folding, and shaping dough for bread.","{kneading, folding, shaping}","{baker, dough, bread}",{},{baker}
"Raindrops falling, splashing, and trickling down a window pane.","{falling, splashing, trickling}","{raindrops, window, pane}",{},{raindrops}
"A juggler tossing, catching, and balancing colorful balls.","{tossing, catching, balancing}","{juggler, balls}",{colorful},{juggler}
"Skaters gliding, spinning, and twirling on an ice rink.","{gliding, spinning, twirling}","{skaters, rink}",{ice},{skaters}
"A drummer beating, pounding, and tapping on various drums.","{beating, pounding, tapping}","{drummer, drums}",{various},{drummer}
"Butterflies fluttering, hovering, and alighting on flowers.","{fluttering, hovering, alighting}","{butterflies, flowers}",{},{butterflies}
"A surfer riding, gliding, and maneuvering on a wave.","{riding, gliding, maneuvering}","{surfer, wave}",{},{surfer}
"Fireworks exploding, bursting, and illuminating the night sky.","{exploding, bursting, illuminating}","{fireworks, sky}",{night},{fireworks}
"Leaves rustling, whispering, and dancing in the wind.","{rustling, whispering, dancing}","{leaves, wind}",{},{leaves}
"A potter molding, shaping, and forming clay on a wheel.","{molding, shaping, forming}","{potter, clay, wheel}",{},{potter}
"Snowflakes falling, drifting, and settling on the ground.","{falling, drifting, settling}","{snowflakes, ground}",{},{snowflakes}
"A pianist playing, tickling, and striking the keys of a piano.","{playing, tickling, striking}","{pianist, keys, piano}",{},{pianist}
"Waves lapping, splashing, and breaking on a sandy shore.","{lapping, splashing, breaking}","{waves, shore}",{sandy},{waves}
"A gardener planting, sowing, and nurturing seedlings in soil.","{planting, sowing, nurturing}","{gardener, seedlings, soil}",{},{gardener}
"Bees buzzing, hovering, and pollinating flowers in a garden.","{buzzing, hovering, pollinating}","{bees, flowers, garden}",{},{bees}
"A violinist bowing, plucking, and strumming the strings.","{bowing, plucking, strumming}","{violinist, strings}",{},{violinist}
